codigo;departamento;municipio;particulares;lea;total;
05001;Antioquia;Medellín;2.359.801;12.529;2.372.330;
05002;Antioquia;Abejorral;17.573;26;17.599;
05004;Antioquia;Abriaquí;2.141;18;2.159;
05021;Antioquia;Alejandría;3.826;13;3.839;
05030;Antioquia;Amagá;26.687;134;26.821;
05031;Antioquia;Amalfi;20.141;124;20.265;
05034;Antioquia;Andes;37.027;1.117;38.144;
05036;Antioquia;Angelópolis;5.013;14;5.027;
05038;Antioquia;Angostura;10.500;0;10.500;
05040;Antioquia;Anorí;14.477;25;14.502;
05042;Antioquia;Santafé de Antioquia;22.966;250;23.216;
05044;Antioquia;Anza;6.386;2;6.388;
05045;Antioquia;Apartadó;112.396;1.073;113.469;
05051;Antioquia;Arboletes;26.279;10;26.289;
05055;Antioquia;Argelia;6.733;19;6.752;
05059;Antioquia;Armenia;3.817;2;3.819;
05079;Antioquia;Barbosa;44.621;136;44.757;
05086;Antioquia;Belmira;5.349;0;5.349;
05088;Antioquia;Bello;477.660;4.241;481.901;
05091;Antioquia;Betania;8.589;0;8.589;
05093;Antioquia;Betulia;15.069;28;15.097;
05101;Antioquia;Ciudad Bolívar;23.086;275;23.361;
05107;Antioquia;Briceño;5.946;0;5.946;
05113;Antioquia;Buriticá;7.368;41;7.409;
05120;Antioquia;Cáceres;26.120;340;26.460;
05125;Antioquia;Caicedo;7.015;3;7.018;
05129;Antioquia;Caldas;75.971;289;76.260;
05134;Antioquia;Campamento;7.402;30;7.432;
05138;Antioquia;Cañasgordas;13.562;33;13.595;
05142;Antioquia;Caracolí;3.955;12;3.967;
05145;Antioquia;Caramanta;4.269;0;4.269;
05147;Antioquia;Carepa;45.300;636;45.936;
05148;Antioquia;El Carmen de Viboral;53.606;343;53.949;
05150;Antioquia;Carolina;3.320;23;3.343;
05154;Antioquia;Caucasia;84.459;258;84.717;
05172;Antioquia;Chigorodó;55.558;6;55.564;
05190;Antioquia;Cisneros;8.891;19;8.910;
05197;Antioquia;Cocorná;14.703;40;14.743;
05206;Antioquia;Concepción;3.901;35;3.936;
05209;Antioquia;Concordia;16.063;32;16.095;
05212;Antioquia;Copacabana;76.078;401;76.479;
05234;Antioquia;Dabeiba;22.678;39;22.717;
05237;Antioquia;Don Matías;14.163;45;14.208;
05240;Antioquia;Ebéjico;10.323;15;10.338;
05250;Antioquia;El Bagre;47.549;93;47.642;
05264;Antioquia;Entrerrios;8.779;41;8.820;
05266;Antioquia;Envigado;211.558;879;212.437;
05282;Antioquia;Fredonia;18.744;46;18.790;
05284;Antioquia;Frontino;20.111;45;20.156;
05306;Antioquia;Giraldo;5.057;0;5.057;
05308;Antioquia;Girardota;48.310;735;49.045;
05310;Antioquia;Gómez Plata;8.212;23;8.235;
05313;Antioquia;Granada;9.203;1;9.204;
05315;Antioquia;Guadalupe;5.452;0;5.452;
05318;Antioquia;Guarne;42.034;466;42.500;
05321;Antioquia;Guatapé;6.998;40;7.038;
05347;Antioquia;Heliconia;4.709;0;4.709;
05353;Antioquia;Hispania;4.950;0;4.950;
05360;Antioquia;Itagui;261.576;1.756;263.332;
05361;Antioquia;Ituango;18.443;5.341;23.784;
05364;Antioquia;Jardín;13.453;88;13.541;
05368;Antioquia;Jericó;11.046;211;11.257;
05376;Antioquia;La Ceja;58.787;599;59.386;
05380;Antioquia;La Estrella;67.002;879;67.881;
05390;Antioquia;La Pintada;7.974;0;7.974;
05400;Antioquia;La Unión;20.738;31;20.769;
05411;Antioquia;Liborina;7.902;26;7.928;
05425;Antioquia;Maceo;7.292;5;7.297;
05440;Antioquia;Marinilla;55.225;5;55.230;
05467;Antioquia;Montebello;5.881;0;5.881;
05475;Antioquia;Murindó;4.642;0;4.642;
05480;Antioquia;Mutatá;12.602;5;12.607;
05483;Antioquia;Nariño;8.599;4;8.603;
05490;Antioquia;Necoclí;38.420;0;38.420;
05495;Antioquia;Nechí;24.030;36;24.066;
05501;Antioquia;Olaya;2.719;0;2.719;
05541;Antioquia;Peñol;17.996;14;18.010;
05543;Antioquia;Peque;7.141;14;7.155;
05576;Antioquia;Pueblorrico;7.202;0;7.202;
05579;Antioquia;Puerto Berrío;35.791;1.010;36.801;
05585;Antioquia;Puerto Nare;12.127;34;12.161;
05591;Antioquia;Puerto Triunfo;15.490;1.741;17.231;
05604;Antioquia;Remedios;22.519;11;22.530;
05607;Antioquia;Retiro;20.568;132;20.700;
05615;Antioquia;Rionegro;114.851;1.549;116.400;
05628;Antioquia;Sabanalarga;7.813;20;7.833;
05631;Antioquia;Sabaneta;81.630;167;81.797;
05642;Antioquia;Salgar;15.729;53;15.782;
05647;Antioquia;San Andrés de Cuerquía;6.295;0;6.295;
05649;Antioquia;San Carlos;14.373;107;14.480;
05652;Antioquia;San Francisco;5.223;142;5.365;
05656;Antioquia;San Jerónimo;13.133;25;13.158;
05658;Antioquia;San José de La Montaña;2.952;0;2.952;
05659;Antioquia;San Juan de Urabá;19.992;0;19.992;
05660;Antioquia;San Luis;11.099;21;11.120;
05664;Antioquia;San Pedro;17.020;99;17.119;
05665;Antioquia;San Pedro de Uraba;30.064;463;30.527;
05667;Antioquia;San Rafael;12.557;21;12.578;
05670;Antioquia;San Roque;17.750;42;17.792;
05674;Antioquia;San Vicente;17.987;64;18.051;
05679;Antioquia;Santa Bárbara;21.836;194;22.030;
05686;Antioquia;Santa Rosa de Osos;30.350;717;31.067;
05690;Antioquia;Santo Domingo;9.520;266;9.786;
05697;Antioquia;El Santuario;30.255;56;30.311;
05736;Antioquia;Segovia;33.310;380;33.690;
05756;Antioquia;Sonson;31.598;263;31.861;
05761;Antioquia;Sopetrán;13.709;39;13.748;
05789;Antioquia;Támesis;14.814;198;15.012;
05790;Antioquia;Tarazá;22.729;97;22.826;
05792;Antioquia;Tarso;5.646;17;5.663;
05809;Antioquia;Titiribí;8.179;137;8.316;
05819;Antioquia;Toledo;4.922;8;4.930;
05837;Antioquia;Turbo;114.212;222;114.434;
05842;Antioquia;Uramita;6.523;0;6.523;
05847;Antioquia;Urrao;28.860;144;29.004;
05854;Antioquia;Valdivia;11.511;0;11.511;
05856;Antioquia;Valparaíso;5.414;17;5.431;
05858;Antioquia;Vegachí;11.134;0;11.134;
05861;Antioquia;Venecia;10.221;59;10.280;
05873;Antioquia;Vigía del Fuerte;8.126;13;8.139;
05885;Antioquia;Yalí;6.234;0;6.234;
05887;Antioquia;Yarumal;35.842;495;36.337;
05890;Antioquia;Yolombó;18.915;95;19.010;
05893;Antioquia;Yondó;17.493;104;17.597;
05895;Antioquia;Zaragoza;24.052;15;24.067;
08001;Atlántico;Barranquilla;1.115.490;4.613;1.120.103;
08078;Atlántico;Baranoa;61.446;81;61.527;
08137;Atlántico;Campo de La Cruz;22.810;0;22.810;
08141;Atlántico;Candelaria;15.631;0;15.631;
08296;Atlántico;Galapa;55.014;109;55.123;
08372;Atlántico;Juan de Acosta;18.828;0;18.828;
08421;Atlántico;Luruaco;27.647;0;27.647;
08433;Atlántico;Malambo;119.704;216;119.920;
08436;Atlántico;Manatí;19.233;0;19.233;
08520;Atlántico;Palmar de Varela;27.087;11;27.098;
08549;Atlántico;Piojó;5.636;0;5.636;
08558;Atlántico;Polonuevo;16.221;1;16.222;
08560;Atlántico;Ponedera;23.412;8;23.420;
08573;Atlántico;Puerto Colombia;47.742;157;47.899;
08606;Atlántico;Repelón;25.467;0;25.467;
08634;Atlántico;Sabanagrande;31.991;35;32.026;
08638;Atlántico;Sabanalarga;92.283;197;92.480;
08675;Atlántico;Santa Lucía;12.650;0;12.650;
08685;Atlántico;Santo Tomás;28.635;58;28.693;
08758;Atlántico;Soledad;535.639;345;535.984;
08770;Atlántico;Suan;11.607;0;11.607;
08832;Atlántico;Tubará;12.718;0;12.718;
08849;Atlántico;Usiacurí;9.543;0;9.543;
11001;Bogotá; D.C.;Bogotá; D.C.;7.149.540;31.929;7.181.469
13001;Bolívar;Cartagena;884.084;3.862;887.946;
13006;Bolívar;Achí;18.864;15;18.879;
13030;Bolívar;Altos del Rosario;9.009;0;9.009;
13042;Bolívar;Arenal;7.169;0;7.169;
13052;Bolívar;Arjona;67.100;18;67.118;
13062;Bolívar;Arroyohondo;8.058;0;8.058;
13074;Bolívar;Barranco de Loba;14.435;0;14.435;
13140;Bolívar;Calamar;22.202;0;22.202;
13160;Bolívar;Cantagallo;6.874;0;6.874;
13188;Bolívar;Cicuco;13.120;0;13.120;
13212;Bolívar;Córdoba;14.992;20;15.012;
13222;Bolívar;Clemencia;13.821;0;13.821;
13244;Bolívar;El Carmen de Bolívar;67.376;85;67.461;
13248;Bolívar;El Guamo;7.861;0;7.861;
13268;Bolívar;El Peñón;7.234;0;7.234;
13300;Bolívar;Hatillo de Loba;11.770;0;11.770;
13430;Bolívar;Magangué;127.471;532;128.003;
13433;Bolívar;Mahates;25.772;303;26.075;
13440;Bolívar;Margarita;9.720;0;9.720;
13442;Bolívar;María La Baja;45.321;3;45.324;
13458;Bolívar;Montecristo;13.470;0;13.470;
13468;Bolívar;Mompós;43.209;8;43.217;
13473;Bolívar;Morales;18.678;0;18.678;
13490;Bolívar;Norosí;7.888;11;7.899;
13549;Bolívar;Pinillos;23.349;0;23.349;
13580;Bolívar;Regidor;5.335;0;5.335;
13600;Bolívar;Río Viejo ;8.125;0;8.125;
13620;Bolívar;San Cristóbal;7.454;0;7.454;
13647;Bolívar;San Estanislao;16.518;0;16.518;
13650;Bolívar;San Fernando;9.776;0;9.776;
13654;Bolívar;San Jacinto;23.551;25;23.576;
13655;Bolívar;San Jacinto del Cauca;8.079;0;8.079;
13657;Bolívar;San Juan Nepomuceno;35.412;26;35.438;
13667;Bolívar;San Martín de Loba;14.501;3;14.504;
13670;Bolívar;San Pablo;24.520;149;24.669;
13673;Bolívar;Santa Catalina;14.039;0;14.039;
13683;Bolívar;Santa Rosa;18.375;0;18.375;
13688;Bolívar;Santa Rosa del Sur;27.284;541;27.825;
13744;Bolívar;Simití;15.264;89;15.353;
13760;Bolívar;Soplaviento;9.187;0;9.187;
13780;Bolívar;Talaigua Nuevo;12.845;0;12.845;
13810;Bolívar;Tiquisio;17.918;21;17.939;
13836;Bolívar;Turbaco;98.380;287;98.667;
13838;Bolívar;Turbaná;15.544;6;15.550;
13873;Bolívar;Villanueva;21.135;0;21.135;
13894;Bolívar;Zambrano;11.367;0;11.367;
15001;Boyacá;Tunja;166.850;1.141;167.991;
15022;Boyacá;Almeida;1.582;0;1.582;
15047;Boyacá;Aquitania;13.860;0;13.860;
